month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan
11,395.7983230849378,1108.385498416728,716.2010542316451,645.2038344510644,395.7983230849378,1108.385498416728,716.2010542316451,645.2038344510644,0.0,0.0,0.0,0.0,1879574.3399849606,5662770.421659608,3530868.1862529763,3203692.9685710873,0.0,0.0,0.0,0.0,1879574.3399849606,5662770.421659608,3530868.1862529763,3203692.9685710873,920588.2065863556,2087036.4488414614,1468332.056473845,1328845.0913756425,222483.2660610011,591193.9782943955,399186.5866114224,351532.0153426891,3666788.729268911,4577886.540573179,4077594.2356532984,3985672.9632254047,421885.9308397344,424858.37283584883,425471.621657011,422926.28553837445,0.0,0.0,0.0,0.0,79364.19705388232,312523.87021667045,179456.73923345644,160970.08266085817,2296525.4396460396,3077368.0781658287,2645028.7973024882,2569820.363127966,209709.45045460967,213451.31774343815,255516.4797599597,211019.10400569963,7916291.615123259,11581654.86365658,9637018.969048169,9199168.75210992,-6036717.275138298,-5918884.441996971,-6106150.782795191,-5995475.783538833,-61146064.839190416,-61602338.42101241,-61325727.36400403,-61305760.59282811,10.430333333333333,24.905666666666665,17.2,15.496699999999999,5.364253771423197,5.282589962921772,5.298451692365687,5.335671438447698,53.6771150506684,57.26265369494286,55.76252162552089,54.932053576164456,0.0,0.0,0.0,0.0
12,422.9070676494552,1279.945851489479,796.748690418131,722.8706419934636,422.9070676494552,1279.945851489479,796.748690418131,722.8706419934636,0.0,0.0,0.0,0.0,2011745.6227506427,6554712.820203796,3936131.2249283073,3601784.1418592464,0.0,0.0,0.0,0.0,2011745.6227506427,6554712.820203796,3936131.2249283073,3601784.1418592464,941624.7885796477,2292906.580184294,1559468.5075415473,1414573.4156412738,230179.14536636838,659842.4659742338,429914.9621328572,380561.30757912126,3775689.1863155263,4813210.668671768,4242145.381494265,4138821.7051402107,431012.72414839396,436597.8164758802,437044.5790713357,432967.5064630142,0.0,0.0,0.0,0.0,85451.3773837352,362539.10900793836,200147.4013974082,182432.0834522063,2357776.145096181,3252979.697558929,2756411.551245349,2671097.388458143,408507.8691738763,385105.57974189415,394370.5195734311,400317.0678726826,8336169.509592416,12547320.77443636,10227292.811440544,9810072.452287797,-6324423.886841774,-5992607.954232565,-6291161.586512238,-6208288.3104285505,-67470488.72603218,-67594946.37524498,-67616888.95051625,-67514048.90325665,10.577666666666667,27.150666666666666,18.128,16.378216666666667,5.0978933740684464,5.016221463370796,5.034672721661476,5.069308205324268,53.824703985684145,57.43159184428345,55.924907884271526,55.08711473619391,0.0,0.0,0.0,0.0
13,451.91164399530817,1476.5289096378585,888.2605153616618,810.5276869702009,451.91164399530817,1476.5289096378585,888.2605153616618,810.5276869702009,0.0,0.0,0.0,0.0,2153546.620367197,7579631.094397392,4397149.425245962,4052676.186277765,0.0,0.0,0.0,0.0,2153546.620367197,7579631.094397392,4397149.425245962,4052676.186277765,964629.5363305327,2525380.2122459537,1659759.3394383488,1510892.2729009301,238200.98039560803,736380.1041699356,464005.6750944484,412563.67371662264,3880406.5964801344,5054056.118441631,4411889.887925278,4291183.929166658,445820.90522341075,456457.12816699035,453737.33774107875,449543.5832536636,0.0,0.0,0.0,0.0,91098.57005903148,417960.9713539392,228073.30679085248,205500.4105122492,2420363.146154865,3436357.6366193797,2874773.44526168,2775961.2178174453,482606.5570144272,502438.9465453361,499044.72389999754,489547.8933502453,8636559.874122106,13526989.669947378,10823347.643151702,10348210.30266095,-6483013.253754908,-5947358.575549985,-6426198.217905743,-6295534.116383186,-73953501.9797871,-73542304.95079497,-74043087.16842201,-73809583.01963985,10.746333333333334,29.640333333333334,19.146,17.359233333333332,4.851246666074167,4.769699917224545,4.789849466622242,4.822705303976799,53.97277775509254,57.60111627473938,56.08785048267512,55.242696236968925,0.0,0.0,0.0,0.0
14,483.64342264989267,1703.641189652147,990.4115231993561,910.6426411006817,483.64342264989267,1703.641189652147,990.4115231993561,910.6426411006817,0.0,0.0,0.0,0.0,2309097.0881461813,8767931.027859842,4912171.95413105,4569688.967045963,0.0,0.0,0.0,0.0,2309097.0881461813,8767931.027859842,4912171.95413105,4569688.967045963,991009.424133345,2788560.5348320813,1769834.7399975513,1620152.3128779028,246898.87429240975,821865.3024424876,500962.75569016876,448137.12414493697,3999370.9018120035,5304332.088781983,4596668.432478956,4456107.317251496,466161.4912063775,484793.44321310613,474295.773622664,472682.67440873256,0.0,0.0,0.0,0.0,98559.89980448017,485397.53202736774,252966.61652544772,233953.0710824908,2485926.112553562,3628917.801923801,2997955.3197274446,2885973.203833146,657686.1649316994,670448.1388443394,606105.0343678736,662152.8558011234,9067225.13319529,14644644.858646734,11458075.27258876,11019322.037103295,-6758128.0450491095,-5876713.83078689,-6545903.3184577115,-6449633.0700573325,-80711630.0248362,-79419018.78158185,-80588990.48687972,-80259216.08969718,10.947333333333333,32.439,20.2505,18.469416666666667,4.622931479347346,4.541703839192573,4.563259515379668,4.594501805293175,54.12133814713002,57.77122924076665,56.251351541026494,55.39880002990284,0.0,0.0,0.0,0.0
15,518.1891197099344,1963.6552444386582,1102.0184930539815,1024.1022633649877,518.1891197099344,1963.6552444386582,1102.0184930539815,1024.1022633649877,0.0,0.0,0.0,0.0,2478263.8086987305,10130889.23320204,5475487.292658499,5156682.707274889,0.0,0.0,0.0,0.0,2478263.8086987305,10130889.23320204,5475487.292658499,5156682.707274889,1018651.9710093535,3079714.6595514235,1889767.4225849868,1740023.911999078,256215.5282471331,916778.6973716593,539525.3500723924,487412.6374407173,4122282.2505578073,5579615.519279975,4784948.973485079,4632348.894610566,490724.5068618189,516616.38552712684,501463.79994637106,499786.6643946767,0.0,0.0,0.0,0.0,106502.40914923152,562854.211163462,280328.9357066419,266225.5398542122,2554560.841182206,3831008.8643159,3124454.788366037,3001317.649278999,937397.8377106504,935380.6969252386,945889.4580715715,936691.8384357563,9616872.523664767,15953774.332229648,12355409.61405551,11834788.156662475,-7138608.714966036,-5822885.099027607,-6879922.321397011,-6678105.449387586,-87850238.73980224,-85241903.88060945,-87468912.80827673,-86937321.53908476,11.166666666666666,35.51233333333333,21.4345,19.687649999999998,4.410350145316532,4.32978532277491,4.35348580628091,4.382152457426964,54.27038695719808,57.941933006137376,56.415413188341844,55.55542807432683,0.0,0.0,0.0,0.0
16,555.3087438721687,2261.995723251719,1226.7297953517786,1152.6491866550114,555.3087438721687,2261.995723251719,1226.7297953517786,1152.6491866550114,0.0,0.0,0.0,0.0,2660274.792899937,11698373.594839187,6106981.982891003,5823609.373578675,0.0,0.0,0.0,0.0,2660274.792899937,11698373.594839187,6106981.982891003,5823609.373578675,1047072.4449566242,3402179.1055881833,2016246.9782288214,1871359.7761776699,265871.5491426639,1021467.9280313257,581481.9057511963,530330.2817536955,4248010.097634983,5852243.084790042,4977104.591512009,4809491.643139254,523872.5814395438,553630.3360210517,533722.7109416727,534287.7955430716,0.0,0.0,0.0,0.0,114659.68935657835,647779.9461122217,313613.24051493563,301251.7792210535,2625832.8265644354,4044867.232725479,3256869.13643849,3122494.8687208006,1339390.4579460819,1284082.4926678226,1277204.7780318756,1320032.6700986912,10304848.555094028,17420304.80155247,13278561.501088616,12795258.241354482,-7644573.762194091,-5721931.206713281,-7171579.518197615,-6971648.867775807,-95494812.50199634,-90963835.08732274,-94640492.32647434,-93908970.40686058,11.391666666666667,38.882666666666665,22.694,21.013516666666668,4.214143046235359,4.133554438974883,4.158925912409195,4.185937033694192,54.419925987893805,58.11322984398034,56.58003756239665,55.7125823375241,0.0,0.0,0.0,0.0
17,594.8962871179777,2602.2148657111293,1365.5816061726873,1297.4577896255807,594.8962871179777,2602.2148657111293,1365.5816061726873,1297.4577896255807,0.0,0.0,0.0,0.0,2855146.4074539253,13490621.75989217,6814305.91898764,6577562.78080731,0.0,0.0,0.0,0.0,2855146.4074539253,13490621.75989217,6814305.91898764,6577562.78080731,1078337.7328026714,3764592.839243725,2157595.349986038,2018527.02005704,275934.59443459334,1137845.1081397166,627209.1687922871,577603.2742313865,4373647.639482487,6148151.342482411,5177755.994073164,4994723.93553246,557303.0670425863,594519.8109416522,570839.3273457828,570328.9274072594,0.0,0.0,0.0,0.0,122727.90521295353,743942.3631106664,351376.3112815813,340152.965477153,2698256.3756597866,4268248.296583369,3396613.163929659,3247753.5479830406,1522168.550321652,1690230.4208420152,1371349.7040763153,1580990.2050037791,10778801.579364616,19055577.7117376,14012443.229955079,13675673.22569516,-7923655.171910692,-5564955.9518454345,-7198137.310967438,-7098110.444887852,-103418467.67390703,-96528791.03916818,-101838629.63744177,-101007080.85174844,11.637666666666666,42.61966666666667,24.0745,22.481366666666666,4.031430489723097,3.9517431881943517,3.9781475501777366,4.003539934188036,54.56995704904053,58.28512203682181,56.745226809763885,55.870264794763976,0.0,0.0,0.0,0.0
18,638.2279067936051,2993.3096162466386,1518.2766633175647,1462.5065051021668,638.2279067936051,2993.3096162466386,1518.2766633175647,1462.5065051021668,0.0,0.0,0.0,0.0,3068176.351197225,15556458.487684397,7591211.345051406,7439075.098967735,0.0,0.0,0.0,0.0,3068176.351197225,15556458.487684397,7591211.345051406,7439075.098967735,1113726.3031306413,4174241.8525433815,2313439.8620974477,2184906.7454251004,286892.91833851504,1266430.6516392238,675601.8294405084,629731.1249937632,4505920.888199123,6454110.590968278,5382422.287414061,5187787.284168327,586044.8816808142,633776.742747846,598801.9461833906,602751.0330542753,0.0,0.0,0.0,0.0,131605.21663885223,863135.5422026911,392837.0652111528,387640.8305861958,2773846.870484432,4505333.870864502,3538772.554405909,3379867.320617457,1623916.492317628,1596984.7640131623,1638603.4764932212,1614490.387411065,11183604.943793496,20310494.092554227,14941204.747833427,14378016.145859752,-8115428.592596271,-4754035.604869831,-7349993.402782022,-6938941.046892017,-111533896.26650329,-101282826.644038,-109188623.04022379,-107946021.89864044,11.93,46.79833333333333,25.58,24.133916666666664,3.8612674054485887,3.7824490945307674,3.810557174289689,3.8336809966273515,54.72048195771869,58.45761187662646,56.910983085852315,56.02847742933641,0.0,0.0,0.0,0.0
19,684.6645363066433,3435.9754693068367,1685.0686621872007,1647.6233628567109,684.6645363066433,3435.9754693068367,1685.0686621872007,1647.6233628567109,0.0,0.0,0.0,0.0,3297352.5062390873,17899569.91144748,8440898.214683225,8408128.598062024,0.0,0.0,0.0,0.0,3297352.5062390873,17899569.91144748,8440898.214683225,8408128.598062024,1151352.5777925279,4626321.8945687525,2479953.9040599363,2367591.8386642067,298223.7235629175,1407950.6530322842,726644.811317766,686628.1488771958,4639348.466045404,6781527.583245403,5606680.396956063,5389111.157065403,610650.046237834,666564.8320678375,626775.3922695906,630220.2212783352,0.0,0.0,0.0,0.0,143345.58118969563,988406.305606106,428600.7415950777,439116.8347354392,2851359.229675835,4752074.531631698,3685566.71771529,3516609.5853603873,1724221.4467514413,1824398.5143007503,1813545.7916806038,1759283.4203936993,11592253.932734603,21986603.892328285,15813473.718523247,15230276.418592392,-8294901.426495517,-4087033.980880807,-7372575.503840019,-6822147.820530368,-119828797.69299883,-105369860.62491882,-116561198.5440638,-114768169.71917082,12.241666666666667,51.34466666666667,27.1585,25.927716666666665,3.7041701090042722,3.624936570052688,3.6540605111592397,3.6764383703712173,54.871502538296745,58.63070166483851,57.07730855494495,56.187222232586365,0.0,0.0,0.0,0.0
20,734.2660567375714,3943.676179945408,1867.2021403452698,1857.5595998603142,734.2660567375714,3943.676179945408,1867.2021403452698,1857.5595998603142,0.0,0.0,0.0,0.0,3542842.309698976,20594574.424718186,9368867.438859044,9510948.5499557,0.0,0.0,0.0,0.0,3542842.309698976,20594574.424718186,9368867.438859044,9510948.5499557,1191343.9122217789,5133500.093500511,2658388.8200939638,2571098.575669335,310102.6838785305,1565413.864343888,780339.5752511078,749461.5970414055,4776987.891846667,7117808.756010429,5821361.854040586,5596275.194303984,629908.2268573745,697647.3210036758,649524.6478444245,653616.9098085801,0.0,0.0,0.0,0.0,152943.56543546356,1143140.8954217902,472329.9120199622,499512.6309306779,2931875.9110913402,5012711.293099031,3837170.7869417863,3660168.294794032,1816678.5880722792,1669735.0819205444,1934934.7134606738,1765248.360919172,11996577.630232789,23420788.46919874,16648834.451732513,15995051.423870873,-8453735.32053381,-2826214.044480558,-7279967.01287347,-6484102.873915172,-128282533.01353264,-108196074.66939938,-123841165.55693729,-121252272.593086,12.57,56.40833333333333,28.8475,27.913416666666667,3.558112951258578,3.478876125852622,3.5087964889794865,3.5303800623664934,55.02302062246223,58.80439371242312,57.24420539023775,56.34650120394854,0.0,0.0,0.0,0.0
